            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
amp[0]     0.757  0.572   0.000    1.788      0.003    0.002   23489.0   21126.0    NaN
amp[1]     0.713  0.514   0.000    1.615      0.005    0.003   12764.0   19731.0    NaN
amp[2]     0.606  0.463   0.000    1.433      0.004    0.003   15786.0   21231.0    NaN
amp[3]     0.561  0.434   0.000    1.341      0.003    0.002   16477.0   22697.0    NaN
amp[4]     0.617  0.469   0.000    1.456      0.004    0.003   12059.0   14596.0    NaN
amp[5]     0.766  0.526   0.000    1.691      0.005    0.004   11033.0   15553.0    NaN
amp[6]     0.783  0.591   0.000    1.863      0.008    0.006    5489.0    9448.0    NaN
amp[7]     0.629  0.498   0.000    1.549      0.005    0.004    9974.0   15390.0    NaN
amp[8]     0.636  0.464   0.000    1.455      0.004    0.003   15122.0   22398.0    NaN
amp[9]     0.775  0.524   0.000    1.679      0.004    0.003   12788.0   16289.0    NaN
amp[10]    0.705  0.486   0.000    1.552      0.004    0.003   13582.0   19612.0    NaN
amp[11]    0.578  0.442   0.000    1.371      0.004    0.003   12499.0   19384.0    NaN
amp[12]    0.724  0.484   0.000    1.548      0.004    0.003   12290.0   18125.0    NaN
amp[13]    0.694  0.499   0.000    1.584      0.004    0.003   12680.0   20678.0    NaN
amp[14]    0.795  0.506   0.000    1.650      0.004    0.003   12762.0   17889.0    NaN
amp[15]    0.688  0.488   0.000    1.544      0.005    0.003   10846.0   18560.0    NaN
amp[16]    0.584  0.433   0.000    1.358      0.003    0.002   17285.0   22831.0    NaN
amp[17]    0.645  0.451   0.000    1.427      0.004    0.003   13782.0   19911.0    NaN
amp[18]    0.527  0.404   0.000    1.252      0.003    0.002   18932.0   20400.0    NaN
amp[19]    0.495  0.385   0.000    1.185      0.003    0.002   15948.0   19260.0    NaN
phase[0]   0.724  1.808  -2.310   -2.854      0.023    0.013   12471.0   26766.0    NaN
phase[1]  -1.328  1.344   2.147    1.211      0.019    0.013   10166.0   15194.0    NaN
phase[2]  -3.129  1.641   0.220   -0.441      0.027    0.009   13892.0   20383.0    NaN
phase[3]   2.386  1.859  -0.569   -1.112      0.044    0.011   11428.0   21094.0    NaN
phase[4]   1.171  1.754  -1.965   -2.553      0.013    0.016    7425.0   18154.0    NaN
phase[5]  -0.313  1.325  -2.927    2.178      0.035    0.028    4196.0   19225.0    NaN
phase[6]  -2.463  1.256   1.015    0.067      0.007    0.009   12454.0   13162.0    NaN
phase[7]   1.427  2.629  -1.227   -1.716      0.421    0.015    7632.0   19945.0    NaN
phase[8]   1.890  1.622  -0.788   -1.608      0.022    0.012    9977.0   12779.0    NaN
phase[9]  -1.552  1.259   2.383    1.259      0.021    0.014    8123.0    9301.0    NaN
phase[10]  2.033  1.307  -0.402   -1.384      0.019    0.011   10079.0   14247.0    NaN
phase[11] -3.066  1.647   0.596   -0.028      0.017    0.009   13075.0   17726.0    NaN
phase[12]  0.217  1.233  -2.314    2.861      0.016    0.026    4757.0   19096.0    NaN
phase[13] -2.588  1.379   0.700   -0.320      0.008    0.009   12319.0   16412.0    NaN
phase[14]  0.002  1.080  -2.248    2.444      0.013    0.031    3793.0   20999.0    NaN
phase[15] -3.088  1.342   0.555   -0.433      0.010    0.008   14822.0   15945.0    NaN
phase[16] -0.770  1.569   3.027    2.305      0.023    0.015    9787.0   22936.0    NaN
phase[17]  2.875  1.285   0.439   -0.594      0.006    0.008   16040.0   15298.0    NaN
phase[18]  0.906  1.974  -2.172   -2.666      0.024    0.013   11586.0   22238.0    NaN
phase[19] -1.265  1.972   2.194    1.705      0.028    0.013   11551.0   23852.0    NaN
